name,type,url
ต้มยำกุ้งเผ็ดกลาง,Medium,https://d3h1lg3ksw6i6b.cloudfront.net/media/image/2023/04/24/5608757681874e1ea5df1aa41d5b2e3d_How_To_Make_Tom_Yam_Kung_The_Epitome_Of_Delicious_And_Nutritious_Thai_Cuisine3.jpg
แกงเขียวหวานไก่เผ็ดกลาง,Medium,https://f.ptcdn.info/329/068/000/q6eho837j6yTXOXAsDE-o.jpg
ข้าวผัดน้ำพริกกะปิ,Medium,https://img.wongnai.com/p/1920x0/2018/03/01/b234c014c06b4219b37f80bf6b999d2d.jpg
ยำวุ้นเส้นหมูสับ,Medium,https://img.wongnai.com/p/1920x0/2018/12/03/47232aba7bc544348542d0f7d7db16b8.jpg
ผัดเผ็ดหน่อไม้ไก่เผ็ดกลาง,Medium,https://www.bloggang.com/data/jazzy-bong/picture/1442035846.jpg
ต้มแซ่บกระดูกอ่อนเผ็ดกลาง,Medium,https://img.wongnai.com/p/1920x0/2020/05/26/51204c8ba3dd4f7096c69c46a246941b.jpg
ไก่ผัดพริกแกงเผ็ดกลาง,Medium,https://i.ytimg.com/vi/Oum76KWYnsE/maxresdefault.jpg
ผัดเผ็ดไก่เผ็ดน้อย,Medium,https://img.wongnai.com/p/1920x0/2019/06/03/e87a361c146c42209e0a90f7409597fb.jpg
ยำปลาดุกฟูเผ็ดกลาง,Medium,https://img.kapook.com/u/2017/surauch/cooking/e1_10.jpg
แกงป่าหมูเผ็ดกลาง,Medium,https://i.ytimg.com/vi/Q3bQSD3jsX4/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBff8Hr7Gg2shDPjNIMvo1If5SIJA
ผัดกะเพรากุ้งเผ็ดกลาง,Medium,https://food.mthai.com/app/uploads/2017/01/Kaproaw-Kung.jpg
แกงป่าไก่เผ็ดกลาง,Medium,https://www.easycookingmenu.com/media/k2/items/cache/60b645bc79a85e908e08f0f169fd8ecf_XL.jpg
ยำกุ้งสดเผ็ดกลาง,Medium,https://lh3.googleusercontent.com/proxy/y2hwcbSP3Jhdtksbsq3wd0eec5zXSVQ_pMhwOrS2D61NWDkqvFh-TVOtztmG-4Lb-AXcAdRpTY-kbBQ30UEIRiFvQNKi-8wuAqPY38dY7uMJBemezPxf1JdKAMPEpMB1UO7NcjCBTLCFEr6tWqxYgswyi1T5YLkv4BBNHaJ6z2c8CfTJzmRSKt3NzN6Hsd0fOEQ7VGWpF7jvfw_7dk2dMevY6buOjRUcjxhT7oLL
แกงป่าปลาเผ็ดกลาง,Medium,https://img.kapook.com/u/2017/surauch/cooking/n1_8.jpg
ข้าวผัดพริกแกงหมู,Medium,https://s359.kapook.com/pagebuilder/c53caceb-23a6-4072-85c8-1d9b86413a1b.jpg
ต้มแซ่บเนื้อเผ็ดกลาง,Medium,https://i.ytimg.com/vi/kxQ8_q-AF1Q/maxresdefault.jpg
ผัดพริกแกงถั่วฝักยาวหมูเผ็ดกลาง,Medium,https://i.ytimg.com/vi/vl20khoRVN8/sddefault.jpg
ผัดไทยกุ้งสดเผ็ดกลาง,Medium,https://img.wongnai.com/p/1968x0/2022/06/18/9218e1851f5a4e70b4e2782f3d1f8893.jpg
ยำหมูกรอบเผ็ดกลาง,Medium,https://www.unileverfoodsolutions.co.th/dam/global-ufs/mcos/SEA/calcmenu/recipes/TH-recipes/rice-dishes/ep5-%E0%B8%A2%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%A7%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%81%E0%B8%95%E0%B8%81%E0%B8%A1%E0%B8%B1%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B9%81%E0%B8%94%E0%B8%87%E0%B9%80%E0%B8%84%E0%B9%87%E0%B8%A1-/EP5Spicy%20Crispy-Pork%20and-SaltedEgg2.jpg
ต้มยำปลาเผ็ดกลาง,Medium,https://s359.kapook.com/pagebuilder/36af325c-8bcf-45c7-9d1c-a90e46cf6611.jpg
ส้มตำปูปลาร้าเผ็ดกลาง,Medium,https://img-global.cpcdn.com/recipes/b48302d4bf74eb5a/680x482cq70/%E0%B8%A3%E0%B8%9B-%E0%B8%AB%E0%B8%A5%E0%B8%81-%E0%B8%82%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%95%E0%B8%A3-%E0%B8%AA%E0%B8%A1%E0%B8%95%E0%B8%B3%E0%B8%9B%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%AB%E0%B8%AD%E0%B8%A2%E0%B8%94%E0%B8%AD%E0%B8%87.jpg
น้ำตกเนื้อเผ็ดกลาง,Medium,https://fit-d.com/uploads/food/7911042ede0735b42ade83d1ad2d05c9.jpg
ข้าวยำปักษ์ใต้เผ็ดกลาง,Medium,https://p16-va.lemon8cdn.com/tos-alisg-v-a3e477-sg/5885a3dbe16541c1936ad179d9c58b7f~tplv-tej9nj120t-origin.webp
ยำหอยแครงเผ็ดกลาง,Medium,https://img.wongnai.com/p/1968x0/2018/08/17/89fb8db9e6274d8784c4d36d231a0e22.jpg
ผัดเผ็ดกบเผ็ดกลาง,Medium,https://i.ytimg.com/vi/gO-K1pL3Bp8/sddefault.jpg
ยำสามกรอบเผ็ดกลาง,Medium,https://i.ytimg.com/vi/THJVKRHPK6Q/maxresdefault.jpg
แกงไตปลาเผ็ดกลาง,Medium,https://api2.krua.co/wp-content/uploads/2022/04/RT1713_ImageBanner_1140x507.jpg
ต้มแซ่บเอ็นหมูเผ็ดกลาง,Medium,https://i.ytimg.com/vi/Vkp6NahuFBc/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCnon_Ld0Q7v4rY8RS7Ozmr9NaaBQ
ยำรวมมิตรทะเลเผ็ดกลาง,Medium,https://img-global.cpcdn.com/recipes/5cdc14bcd417181d/1200x630cq70/photo.jpg
ข้าวผัดพริกขี้หนูเผ็ดกลาง,Medium,https://i.pinimg.com/736x/f1/37/df/f137dfab853c66ec405fda5aa854779c.jpg
ต้มแซ่บตีนไก่เผ็ดกลาง,Medium,https://i.ytimg.com/vi/OYSC0PHIq4I/maxresdefault.jpg
ยำไข่แมงดาเผ็ดกลาง,Medium,https://food.mthai.com/app/uploads/2017/01/iStock-531850988.jpg
ยำหมูยอเผ็ดกลาง,Medium,https://img.wongnai.com/p/1920x0/2019/11/19/b12451eebc7a4b08887217b7e50c1397.jpg
แกงป่าเห็ดเผ็ดกลาง,Medium,https://s.isanook.com/wo/0/ud/37/188825/food.jpg?ip/resize/w850/q80/jpg
ยำไข่แดงเค็มเผ็ดกลาง,Medium,https://img.wongnai.com/p/1920x0/2019/03/23/27e23856fcb14c55a18b0dbc8d3c4b0d.jpg
แกงเผ็ดไก่เผ็ดกลาง,Medium,https://www.thaistreetfoods.net/wp-content/uploads/2016/08/%E0%B9%81%E0%B8%81%E0%B8%87%E0%B9%80%E0%B8%9C%E0%B9%87%E0%B8%94%E0%B9%84%E0%B8%81%E0%B9%88-700x466.jpg
